symbol,WT1,p531,p53CAS1,p53RAS1,WT2,p532,p53CAS2,p53RAS2
Olfr1466,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm13084,1.427704499636803e-19,0.037871557036256574,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,0.00021369318656194332,3.2766202986305065e-19,1.504003188865196e-19
Gm13088,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm13102,1.427704499636803e-19,2.1515729321930406e-19,0.04113602523438876,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,0.0,1.504003188865196e-19
Gm13103,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm13119,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Cilp2,1.427704499636803e-19,0.037871557036256574,0.5421130705123808,0.009165707949488226,1.595492926076236e-19,0.00021369318656194332,0.5781233541543658,0.06173168238935167
Gm13124,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm13125,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm13128,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Rhbdl2,1.427704499636803e-19,2.1515729321930406e-19,1.2256753914774126,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,1.195512732626541,1.504003188865196e-19
Nr2e3,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm13177,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Cib4,1.427704499636803e-19,0.749297793774658,1.3559327767642384,1.0257882309041062,1.595492926076236e-19,1.0958710261373774,1.6106322637808579,0.9731492789825449
Rhcg,1.427704499636803e-19,2.1515729321930406e-19,0.0,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,0.04251092953510286,1.504003188865196e-19
Gm13178,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Rgs6,1.427704499636803e-19,2.1515729321930406e-19,0.12107211960346027,0.029881372039889196,1.595492926076236e-19,2.6571596405032366e-19,0.03905947230584857,0.02012758559389602
Gm1322,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm13083,1.427704499636803e-19,0.037871557036256574,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,0.00021369318656194332,3.2766202986305065e-19,1.504003188865196e-19
Cited1,1.427704499636803e-19,0.037871557036256574,0.12461465362163349,0.0,1.595492926076236e-19,0.00021369318656194332,0.0,0.010279213901804635
Gm12794,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Olfr488,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Rgs13,1.427704499636803e-19,0.04204605750118049,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,0.07956399763273007,3.2766202986305065e-19,1.504003188865196e-19
Ckmt2,1.427704499636803e-19,2.1515729321930406e-19,0.04113602523438876,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,0.0,1.504003188865196e-19
Gm12886,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Ckm,1.427704499636803e-19,0.04288055854426581,8.373298305040063,0.031390912456750596,1.595492926076236e-19,0.09933726519943696,9.480331606172244,0.009837186514467267
Gm12887,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm12888,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm13023,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm13040,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm13043,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
CK137956,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Olfr487,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm13057,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Rgs22,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm13078,1.427704499636803e-19,2.1515729321930406e-19,0.0,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,0.04251092953510286,1.504003188865196e-19
Gm12789,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Rho,1.427704499636803e-19,0.08351079507328163,0.9251855293783232,0.016189340220742875,1.595492926076236e-19,0.15909578572271993,1.2202466839982125,0.0
Gm13271,1.427704499636803e-19,2.1515729321930406e-19,0.03445176306009831,0.007744481669012961,1.595492926076236e-19,2.6571596405032366e-19,0.10513554484538709,0.0
Chrng,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm13286,1.427704499636803e-19,0.001061729555157783,0.1140978205345069,0.0,1.595492926076236e-19,0.039585523695847086,0.14512170884529887,0.02065034247371004
Chrnd,1.427704499636803e-19,0.001061729555157783,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,0.039585523695847086,3.2766202986305065e-19,1.504003188865196e-19
Chrnb4,1.427704499636803e-19,2.1515729321930406e-19,0.08295740937261756,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,0.0,1.504003188865196e-19
Chrnb3,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Rhox2d,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm13287,1.427704499636803e-19,0.028496661470659886,0.34886335782083455,0.08696768025425422,1.595492926076236e-19,0.277210345542182,0.35067442100930984,0.09141845629219231
Chrna9,1.427704499636803e-19,2.1515729321930406e-19,0.36504105648004664,0.013327648745587978,1.595492926076236e-19,2.6571596405032366e-19,0.07665610780578491,0.020362003098058537
Fbxw22,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Chrna6,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Chrna5,1.427704499636803e-19,2.1515729321930406e-19,0.08295740937261756,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,0.0,1.504003188865196e-19
Rhox2e,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Chrna3,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Rhox2f,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Chrna10,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,0.046556951355277786,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,0.019926741846819043
Gm13285,1.427704499636803e-19,0.06211102385485484,1.8891637287057435,0.38755893554114407,1.595492926076236e-19,1.4093348194104143,1.792606666017319,0.4467758933051042
Nr2e1,1.427704499636803e-19,2.1515729321930406e-19,0.0,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,0.04251092953510286,1.504003188865196e-19
Olfr484,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Rhox2c,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Rhov,1.427704499636803e-19,0.002053448039844656,0.035542479255264,0.03307185638145929,1.595492926076236e-19,0.07910161029613184,0.08379830678625563,0.0
Rhox1,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm13272,1.427704499636803e-19,0.003425249917812674,0.15656461096497115,0.029881372039889196,1.595492926076236e-19,0.13841603165378105,0.1227848950160799,0.02012758559389602
Rhox10,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Rhox11,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Fbxw24,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Enpp7,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Olfr486,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Chst5,1.427704499636803e-19,2.1515729321930406e-19,0.04113602523438876,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,0.0,1.504003188865196e-19
Enthd1,1.427704499636803e-19,0.0799964526482283,0.552171833646549,1.8537553631798452e-19,1.595492926076236e-19,0.07995484734486946,0.34685601708019664,1.504003188865196e-19
Gm13279,1.427704499636803e-19,0.16591807115409812,0.6431751244980856,0.11633485833588716,1.595492926076236e-19,0.31824924974595475,0.5763661906038438,0.12188184295006872
Rhox12,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Olfr485,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Rhox2a,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Rhox2b,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm13283,1.427704499636803e-19,0.041146392090824026,0.14429304730693587,0.04372890687597231,1.595492926076236e-19,0.05979130994122721,0.37696222812307656,0.040538772908516325
Olfr483,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm12695,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Clca3,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Olfr494,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm11544,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm11554,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm11559,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm11562,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm11563,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Gm11564,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,1.8537553631798452e-19,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,1.504003188865196e-19
Clec18a,1.427704499636803e-19,2.1515729321930406e-19,3.5948165786785987e-19,0.0,1.595492926076236e-19,2.6571596405032366e-19,3.2766202986305065e-19,0.010279213901804635
