atID,wthp6_average,wtlp6_average,wthp5_average,wtlp5_average,wtal_average,wtfe_average,stop1hp6_average,stop1lp6_average,stop1hp5_average,stop1lp5_average,stop1al_average,s1fe_average
AT1G51330,0.0,0.0,0.0,0.06220796568994508,0.976809557176899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT2G30770,0.0005592732858223902,0.0,0.001326008929462427,0.0,0.1752728675236701,0.6158237864179346,0.003623494331261241,0.0,0.0,0.0010127096229163863,0.6633015931318923,0.30813467110578885
AT5G52390,0.0011598681153303036,0.002769444810630535,0.027889004919901268,0.03224384777289448,0.06855908389130438,0.12406550583632778,0.01891965699618573,0.00763839822018572,0.01964823883238388,0.03636060838883773,0.8742053097914884,0.03454260380919671
AT4G13420,0.002772372884059169,0.0036753542863000224,0.00652266372248525,0.018935104855113717,0.816467940164621,0.03634379120123171,0.0463010341347047,0.016797640862029537,0.04713747876467429,0.044199062718356705,0.01655805538099668,0.019117018548481968
AT4G37290,0.00316267643593874,0.0006739132898142679,0.013684422931935175,0.007835575183358534,0.018776545439272974,0.10657280669140955,0.01107065542054576,0.002075523894263403,0.010160251623355564,0.011629192217340812,0.7407944026931967,0.12854928077062133
AT5G36970,0.0034353094254322507,0.006215455460420162,0.005164389882561748,0.003174441801530606,0.025990903923282713,0.19217094706117288,0.006027102692030013,0.002259919611854541,0.011378604952882709,0.008467054635966526,0.7610948465855936,0.23566449578636978
AT5G07570,0.003506777206736015,0.01564454229425758,0.04274610018383905,0.1276597199525025,0.9874381294318721,0.05950911178188659,0.001895645814957099,0.0,0.0,0.0015894094943348111,0.001579904419382783,0.0
AT5G38910,0.0045864095536216655,0.0004898309838891039,0.0,0.0007285617603495315,0.9137933750937535,0.6036117938184475,0.0015410578429198144,0.0015085856393966944,0.010174387474070866,0.003570826239641332,0.8447361958447821,0.22138599066139839
AT4G15100,0.005482795596247126,0.007009750556191863,0.005833953091151208,0.0,0.0,0.09054852521673458,0.022460483051996785,0.013363509718336986,0.024601924602066817,0.004964013123421709,0.020588313293541403,0.8277949143884027
AT5G17860,0.007087898220105848,0.004530936601450759,0.020685399819815153,0.0532973357931235,0.6394667955338305,0.25915918424633894,0.030088402597418604,0.0,0.0,0.0,0.09113766283010044,0.015575332393826446
AT4G37770,0.007697637788060553,0.03423663664424829,0.03870233295175593,0.05779930559295024,0.24573995617729805,0.042530332350059895,0.008332280583147904,0.026403299202197153,0.016604685096391104,0.11280721322169925,0.8451525785405845,0.04709349007655229
AT5G07572,0.01134063714838658,0.02174849590208237,0.0,0.07547899857734648,0.9958819393621866,0.051974527812889935,0.045615312362381887,0.0,0.0,0.0,0.03179202917184112,0.02492053182180983
AT2G26695,0.013068360772116858,0.02506183620730276,0.02423349506817278,0.1366798313987511,0.6498052426682361,0.515024984371454,0.0,0.0,0.014659803531765755,0.012266929858158686,0.0,0.022323034363031957
AT3G51895,0.01670683087584573,0.060194796688868756,0.02645012191429073,0.06797611945774466,0.9869373039061418,0.29539673070556427,0.023678651534939223,0.0202615168147236,0.04801249948854633,0.020943538895655506,0.04160272535568538,0.0796484889957532
AT1G08430,0.019115668154073607,0.02453935013714749,0.0373667351613305,0.09215900344910952,0.8862656792711934,0.08327867112206659,0.0009904110863562371,0.0005617060242589822,0.00032486539606022544,0.00019735350473312147,9.460758423391885e-05,0.0001155021136870343
AT3G28540,0.01925298924514347,0.009177290273744596,0.03065483298106986,0.017855263704799125,0.20115258788150944,0.05582525664030828,0.04640273948994148,0.032289358573999,0.06366756997900513,0.029717141316359157,0.9981811170081403,0.13129797442576738
