atID,wthp6,wtlp6,wthp5,wtlp5,wtal,wtfe,s1hp6,s1lp6,s1hp5,s1lp5,s1al,s1fe
AT1G51330,0.0,0.0,0.0,0.06221,0.97681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT2G30770,0.00056,0.0,0.00133,0.0,0.17527,0.61582,0.00362,0.0,0.0,0.00101,0.6633,0.30813
AT5G52390,0.00116,0.00277,0.02789,0.03224,0.06856,0.12407,0.01892,0.00764,0.01965,0.03636,0.87421,0.03454
AT4G13420,0.00277,0.00368,0.00652,0.01894,0.81647,0.03634,0.0463,0.0168,0.04714,0.0442,0.01656,0.01912
AT4G37290,0.00316,0.00067,0.01368,0.00784,0.01878,0.10657,0.01107,0.00208,0.01016,0.01163,0.74079,0.12855
AT5G36970,0.00344,0.00622,0.00516,0.00317,0.02599,0.19217,0.00603,0.00226,0.01138,0.00847,0.76109,0.23566
AT5G07570,0.00351,0.01564,0.04275,0.12766,0.98744,0.05951,0.0019,0.0,0.0,0.00159,0.00158,0.0
AT5G38910,0.00459,0.00049,0.0,0.00073,0.91379,0.60361,0.00154,0.00151,0.01017,0.00357,0.84474,0.22139
AT4G15100,0.00548,0.00701,0.00583,0.0,0.0,0.09055,0.02246,0.01336,0.0246,0.00496,0.02059,0.82779
AT5G17860,0.00709,0.00453,0.02069,0.0533,0.63947,0.25916,0.03009,0.0,0.0,0.0,0.09114,0.01558
AT4G37770,0.0077,0.03424,0.0387,0.0578,0.24574,0.04253,0.00833,0.0264,0.0166,0.11281,0.84515,0.04709
AT5G07572,0.01134,0.02175,0.0,0.07548,0.99588,0.05197,0.04562,0.0,0.0,0.0,0.03179,0.02492
AT2G26695,0.01307,0.02506,0.02423,0.13668,0.64981,0.51502,0.0,0.0,0.01466,0.01227,0.0,0.02232
AT3G51895,0.01671,0.06019,0.02645,0.06798,0.98694,0.2954,0.02368,0.02026,0.04801,0.02094,0.0416,0.07965
AT1G08430,0.01912,0.02454,0.03737,0.09216,0.88627,0.08328,0.00099,0.00056,0.00032,0.0002,9e-05,0.00012
AT3G28540,0.01925,0.00918,0.03065,0.01786,0.20115,0.05583,0.0464,0.03229,0.06367,0.02972,0.99818,0.1313
AT2G18480,0.02092,0.00886,0.01738,0.03138,0.75577,0.07765,0.01174,0.0,0.00313,0.01403,0.00258,0.00476
AT2G43590,0.02364,0.01351,0.03426,0.05899,0.82065,0.66049,0.03734,0.00977,0.04193,0.04087,0.12428,0.21594
AT5G67060,0.02614,0.03167,0.12704,0.11242,0.19147,0.84674,0.07713,0.12639,0.10813,0.27798,0.18819,0.79932
AT3G54520,0.02722,0.04128,0.03606,0.09056,0.30154,0.04969,0.04215,0.0449,0.05229,0.5256,0.34686,0.10151
AT4G21650,0.02999,0.11684,0.0219,0.09212,0.24301,0.54263,0.12689,0.08443,0.10188,0.0702,0.72058,0.85459
AT1G52930,0.03256,0.40579,0.40493,0.82298,0.80131,0.46274,0.94799,0.42638,0.88549,0.43361,0.33989,0.46596
AT4G36880,0.04352,0.05784,0.06678,0.06712,0.20038,0.20283,0.01148,0.0135,0.01963,0.03567,0.91249,0.55253
AT3G49120,0.04766,0.03766,0.05543,0.09625,0.37805,0.79441,0.03107,0.06502,0.05608,0.10897,0.92381,0.7393
AT5G06860,0.04781,0.06801,0.08225,0.13948,0.71114,0.35465,0.00629,0.00607,0.00804,0.01723,0.05792,0.02125
AT5G25460,0.05296,0.09171,0.12259,0.18404,0.95429,0.15724,0.02994,0.02741,0.03524,0.04188,0.02454,0.0373
AT5G57560,0.05567,0.10838,0.04548,0.11621,0.62429,0.07481,0.05783,0.05611,0.06773,0.14599,0.39658,0.07274
AT1G15830,0.06294,0.06633,0.04999,0.07152,0.7135,0.08675,0.01314,0.07841,0.04832,0.05197,0.05898,0.07766
AT5G20230,0.06512,0.0283,0.03429,0.16114,0.52768,0.13574,0.05749,0.04309,0.05895,0.29005,0.83629,0.23394
AT2G27120,0.06529,0.01394,0.08353,0.04084,0.95297,0.0,0.03371,0.0667,0.04493,0.01024,0.01963,0.03061
AT4G11470,0.06663,0.06396,0.05728,0.07831,0.10999,0.60841,0.17389,0.11413,0.12331,0.0917,0.58326,0.26461
AT4G27460,0.06957,0.08346,0.08166,0.12809,0.98726,0.44631,0.06476,0.02264,0.02955,0.02771,0.00651,0.11392
AT1G66180,0.07716,0.08456,0.09197,0.13945,0.77637,0.15024,0.08179,0.06954,0.08131,0.08721,0.12093,0.11944
AT3G52720,0.07806,0.02139,0.06172,0.13692,0.81479,0.06171,0.05858,0.06014,0.04597,0.144,0.2143,0.10074
AT1G13480,0.07999,0.13345,0.06738,0.07151,0.77427,0.13789,0.07821,0.09759,0.06887,0.09892,0.52686,0.08444
AT5G03545,0.08004,0.60381,0.11033,0.25517,0.39943,0.1367,0.12264,0.91864,0.13908,0.41098,0.42437,0.17408
AT3G15500,0.08717,0.10773,0.1185,0.24082,0.30297,0.93451,0.11727,0.09686,0.11175,0.21119,0.60302,0.46106
AT1G20030,0.09259,0.09009,0.09905,0.1017,0.18359,0.37213,0.09176,0.10219,0.11562,0.17749,0.98442,0.41572
AT2G17500,0.09386,0.09062,0.14703,0.18874,0.36317,0.85114,0.05345,0.03813,0.06456,0.11118,0.39746,0.41886
AT2G24270,0.09898,0.02128,0.50916,0.02418,0.41661,0.1293,0.15272,0.0696,0.14326,0.00404,0.01549,0.18017
AT4G15490,0.10362,0.05404,0.15568,0.15102,0.20133,0.1898,0.33678,0.26609,0.38203,0.38318,0.33167,0.83455
AT3G22240,0.10917,0.09462,0.2072,0.25017,0.51436,0.62627,0.12986,0.08386,0.15688,0.16839,0.11582,0.1964
AT2G18690,0.11149,0.09601,0.131,0.11911,0.22389,0.35863,0.15279,0.10954,0.12807,0.14523,0.9519,0.31946
AT5G66650,0.1158,0.14567,0.13601,0.17072,0.89589,0.32094,0.08951,0.10617,0.0939,0.13277,0.14583,0.20181
AT3G47340,0.11604,0.07631,0.08619,0.22228,0.28083,0.34827,0.35519,0.05114,0.05141,0.22965,0.96022,0.14734
AT2G41380,0.11839,0.14999,0.22981,0.34668,0.8175,0.60559,0.02353,0.01579,0.03383,0.04624,0.0399,0.09132
AT3G25250,0.12106,0.15441,0.11352,0.14399,0.3244,0.38953,0.14323,0.11344,0.14998,0.25081,0.98497,0.40612
